of/IN matters/NNS on/IN constitutionality/NN
and/CC all/DT on/IN the/DT other/JJ
come/VBN about/RB on/IN large/JJ part/NN
the/DT cause/NN on/IN free/JJ trade/NN
critical/JJ importance/NN on/IN this/DT effort/NN
the/DT type/NN on/IN rule/NN of/IN
any/DT other/JJ on/IN the/DT future/NN
the/DT nation/NN on/IN bahrain/NN is/VBZ
important/JJ ally/NN on/IN the/DT global/JJ
fleet/NN operates/VBZ on/IN bahrain/NN a/DT
trade/NN agreements/NNS on/IN the/DT future/NN
that/WDT is/VBZ on/IN the/DT best/JJS
on/IN addition/NN the/DT
ally/NN and/CC on/IN the/DT years/NNS
on/IN other/JJ words/NNS
on/IN addition/NN to/TO
the/DT reversal/NN on/IN america/NN s/VBZ
recognized/VBN standards/NNS on/IN workers/NNS rights/NNS
of/IN law/NN on/IN practice/NN of/IN
retreat/NN many/JJ on/IN us/PRP voted/VBD
the/DT boycott/NN on/IN israel/NN and/CC
potential/JJ peace/NN on/IN the/DT middle/JJ
many/JJ others/NNS on/IN the/DT middle/JJ
did/VBD work/NN on/IN good/JJ faith/NN
major/JJ gaps/NNS on/IN labor/NN laws/NNS
when/WRB all/DT on/IN these/DT particular/JJ
account/NN those/DT on/IN us/PRP of/IN
democratic/JJ side/NN on/IN the/DT ways/NNS
the/DT rights/NNS on/IN other/JJ workers/NNS
as/IN mentioned/VBN on/IN our/PRP$ massive/JJ
not/RB specifically/RB on/IN the/DT bill/NN
the/DT bill/NN on/IN talking/VBG with/IN
only/RB because/RB on/IN economic/JJ reasons/NNS
but/CC because/RB on/IN the/DT courageous/JJ
the/DT spread/NN on/IN freedom/NN and/CC
on/IN fact/NN after/IN
going/VBG in/RP on/IN our/PRP$ economy/NN
bipartisan/JJ support/NN on/IN accomplishing/VBG this/DT
commendable/JJ step/NN on/IN writing/VBG to/TO
on/IN addition/NN to/TO
s/VBZ consideration/NN on/IN this/DT agreement/NN
the/DT status/NN on/IN the/DT arab/NN
doing/VBG business/NN on/IN bahrain/NN regardless/RB
bahrain/NN regardless/RB on/IN its/PRP$ ownership/NN
key/JJ ally/NN on/IN the/DT war/NN
the/DT chairman/NN on/IN the/DT subcommittee/NN
both/DT sides/NNS on/IN the/DT aisle/NN
of/IN front/NN on/IN the/DT cameras/NNS
press/NN coverage/NN on/IN what/WP goes/VBZ
will/MD make/VB on/IN economic/JJ impact/NN
important/JJ ally/NN on/IN the/DT middle/JJ
tested/VBN here/RB on/IN congress/NN and/CC
congress/NN and/CC on/IN geneva/NN
because/RB on/IN the/DT long/JJ
aisle/NN here/RB on/IN the/DT house/NN
so/RB well/RB on/IN the/DT past/NN
yet/RB instead/RB on/IN solving/VBG the/DT
the/DT problem/NN on/IN the/DT amt/NN
other/JJ side/NN on/IN the/DT aisle/NN
the/DT work/NN on/IN this/DT congress/NN
a/DT colleague/NN on/IN mine/NN from/IN
a/DT member/NN on/IN the/DT small/JJ
the/DT effect/NN on/IN at/IN least/JJS
least/JJS one/CD on/IN those/DT tax/NN
mr/NN speaker/NN on/IN a/DT time/NN
a/DT time/NN on/IN disasters/NNS rita/JJ
and/CC of/IN on/IN a/DT time/NN
a/DT time/NN on/IN massive/JJ deficits/NNS
and/CC child/NN on/IN this/DT country/NN
a/DT result/NN on/IN our/PRP$ nation/NN
her/PRP$ area/NN on/IN north/NN carolina/NN
her/PRP$ constituents/NNS on/IN north/NN carolina/NN
which/WDT is/VBZ on/IN here/RB which/WDT
year/NN coming/VBG on/IN and/CC voting/VBG
the/DT floor/NN on/IN the/DT house/NN
in/IN dollars/NNS on/IN tax/NN increases/NNS
it/PRP out/RP on/IN dividends/NNS we/PRP
first/JJ rung/VBN on/IN the/DT economic/JJ
train/NN teachers/NNS on/IN economically/RB distressed/JJ
remain/VB competitive/JJ on/IN a/DT global/JJ
other/JJ side/NN on/IN the/DT aisle/NN
small/JJ businesses/NNS on/IN the/DT united/VBN
twentytwo/NN provisions/NNS on/IN our/PRP$ underlying/VBG
and/CC percent/NN on/IN those/DT taxes/NNS
board/NN back/RB on/IN June/NNP in/IN
double/JJ taxation/NN on/IN dividends/NNS which/WDT
the/DT reduction/NN on/IN tax/NN rates/NNS
create/VB jobs/NNS on/IN our/PRP$ economy/NN
this/DT side/NN on/IN the/DT aisle/NN
the/DT sea/NN on/IN red/JJ ink/NN
with/IN over/RB on/IN tax/NN breaks/NNS
were/VBD provided/VBN on/IN that/DT our/PRP$
other/JJ side/NN on/IN the/DT aisle/NN
best/JJS improvement/NN on/IN the/DT deficit/NN
the/DT heels/NNS on/IN a/DT deficit/NN
and/CC percent/NN on/IN the/DT benefits/NNS
on/IN an/DT estimated/VBN
a/DT stake/NN on/IN their/PRP$ future/NN
the/DT percentage/NN on/IN which/WDT our/PRP$
that/WDT exists/VBZ on/IN this/DT country/NN
the/DT accumulation/NN on/IN capital/NN what/WP
on/IN addition/NN if/IN
percent/NN more/RBR on/IN taxes/NNS to/TO
of/IN behalf/NN on/IN this/DT rule/NN
on/IN fact/NN today/NN
includes/VBZ extensions/NNS on/IN tax/NN incentives/NNS
we/PRP are/VBP on/IN a/DT shrinking/VBG
other/JJ side/NN on/IN the/DT aisle/NN
and/CC everyone/NN on/IN mississippi/NNS and/CC
help/VB neighbors/NNS on/IN need/NN that/IN
the/DT people/NNS on/IN the/DT gulf/NN
her/PRP$ leadership/NN on/IN this/DT body/NN
true/JJ leaders/NNS on/IN congress/NN of/IN
the/DT ability/NN on/IN small/JJ businesses/NNS
now/RB all/DT on/IN a/DT sudden/JJ
tax/NN cuts/NNS on/IN the/DT past/NN
both/DT sides/NNS on/IN the/DT aisle/NN
that/WDT expire/VBP on/IN several/JJ weeks/NNS
the/DT rest/NN on/IN the/DT country/NN
a/DT debate/NN on/IN republican/JJ vs/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
the/DT rest/NN on/IN the/DT country/NN
the/DT form/NN on/IN a/DT huge/JJ
the/DT neediest/JJS on/IN our/PRP$ country/NN
both/DT sides/NNS on/IN the/DT aisle/NN
in/IN millions/NNS on/IN americans/NNS and/CC
the/DT support/NN on/IN new/JJ employees/NNS
on/IN lowincome/NN taxpayers/NNS
the/DT victims/NNS on/IN katrina/NN and/CC
the/DT arc/NN on/IN our/PRP$ moral/JJ
any/DT imprint/NN on/IN the/DT dividend/NN
the/DT value/NN on/IN the/DT aggregate/JJ
are/VBP giving/VBG on/IN tax/NN breaks/NNS
in/IN gambling/VBG on/IN the/DT church/NN
of/IN Thursday/NNP on/IN the/DT church/NN
republican/JJ atrocity/NN on/IN our/PRP$ country/NN
other/JJ side/NN on/IN the/DT aisle/NN
profits/NNS some/DT on/IN the/DT bad/JJ
small/JJ businesses/NNS on/IN this/DT country/NN
allows/VBZ companies/NNS on/IN this/DT country/NN
the/DT numbers/NNS on/IN this/DT congress/NN
tax/NN one/NN on/IN five/CD americans/NNS
suddenly/RB instead/RB on/IN being/VBG a/DT
not/RB only/RB on/IN the/DT committee/NN
had/VBD time/NN on/IN the/DT last/JJ
the/DT protection/NN on/IN the/DT parliamentary/JJ
and/CC women/NNS on/IN combat/NN so/IN
anything/NN else/RB on/IN order/NN for/IN
a/DT trajectory/NN on/IN trillion/CD with/IN
the/DT years/NNS on/IN the/DT bush/JJ
every/DT child/NN on/IN debt/NN debt/NN
so/RB on/IN this/DT christmas/NNS
some/DT words/NNS on/IN caution/NN of/IN
by/IN direction/NN on/IN the/DT committee/NN
keep/VB more/RBR on/IN their/PRP$ hardearned/JJ
very/RB engines/NNS on/IN innovation/NN and/CC
and/CC employment/NN on/IN this/DT country/NN
other/JJ side/NN on/IN the/DT aisle/NN
new/JJ piece/NN on/IN equipment/NN add/VBP
ripple/NN effect/NN on/IN the/DT community/NN
are/VBP proud/JJ on/IN our/PRP$ record/NN
a/DT vote/NN on/IN overwhelming/JJ bipartisan/JJ
through/IN here/RB on/IN an/DT expeditious/JJ
year/NN rather/RB on/IN their/PRP$ tax/NN
much/RB smaller/JJR on/IN number/NN
soon/RB percent/NN on/IN the/DT tax/NN
is/VBZ protected/VBN on/IN the/DT other/JJ
is/VBZ protected/VBN on/IN our/PRP$ bill/NN
is/VBZ not/RB on/IN their/PRP$ bill/NN
acknowledged/VBD expert/NN on/IN this/DT of/IN
we/PRP do/VBP on/IN our/PRP$ substitute/NN
suspension/NN calendar/NN on/IN the/DT house/NN
distinguished/JJ member/NN on/IN the/DT committee/NN
so/RB on/IN order/NN to/TO
just/RB one/CD on/IN those/DT people/NNS
cut/NN which/WDT on/IN course/NN does/VBZ
lead/JJ sponsor/NN on/IN the/DT stealth/NN
relief/NN act/NN on/IN the/DT legislation/NN
many/JJ jobs/NNS on/IN our/PRP$ community/NN
other/JJ side/NN on/IN the/DT aisle/NN
less/JJR money/NN on/IN their/PRP$ wallets/NNS
speaker/NN earlier/RBR on/IN this/DT debate/NN
the/DT house/NN on/IN
other/JJ side/NN on/IN the/DT aisle/NN
aisle/NN that/WDT on/IN the/DT republican/JJ
members/NNS that/WDT on/IN as/IN an/DT
other/JJ side/NN on/IN the/DT aisle/NN
the/DT burden/NN on/IN debtrelief/NN because/IN
would/MD expire/VB on/IN in/IN dividends/NNS
of/IN may/MD on/IN the/DT economy/NN
to/TO all/DT on/IN the/DT sudden/JJ
other/JJ side/NN on/IN the/DT aisle/NN
a/DT flurry/NN on/IN tax/NN cuts/NNS
is/VBZ billion/CD on/IN all/DT political/JJ
who/WP is/VBZ on/IN earnest/NN about/IN
of/IN deficit/NN on/IN years/NNS
an/DT average/NN on/IN extra/JJ of/IN
purchase/VB one/CD on/IN the/DT following/VBG
up/RP billion/CD on/IN new/JJ debt/NN
first/JJ months/NNS on/IN this/DT fiscal/JJ
yesterday/NN members/NNS on/IN the/DT house/NN
democratic/JJ side/NN on/IN the/DT aisle/NN
the/DT amount/NN on/IN this/DT vote/NN
other/JJ side/NN on/IN the/DT aisle/NN
a/DT question/NN on/IN whose/WP$ millionaire/NN
democrat/NN member/NN on/IN the/DT ways/NNS
the/DT way/NN on/IN which/WDT we/PRP
other/JJ side/NN on/IN the/DT aisle/NN
on/IN they/PRP passed/VBD
only/RB part/NN on/IN a/DT brew/NN
the/DT brunt/NN on/IN their/PRP$ spending/NN
always/RB think/VB on/IN that/DT gas/NN
a/DT decrease/NN on/IN revenue/NN and/CC
an/DT individual/NN on/IN this/DT chamber/NN
a/DT member/NN on/IN congress/NN votes/NNS
the/DT paychecks/NNS on/IN the/DT middle/JJ
larger/JJR context/NN on/IN the/DT challenges/NNS
wise/JJ stewards/NNS on/IN choosing/VBG to/TO
in/IN top/NN on/IN the/DT nearly/RB
regardless/RB on/IN your/PRP$ view/NN
it/PRP but/CC on/IN the/DT same/JJ
be/VB heard/VBN on/IN your/PRP$ committee/NN
the/DT myriad/JJ on/IN issues/NNS that/WDT
broad/JJ range/NN on/IN committee/NN assignments/NNS
broad/JJ array/NN on/IN federal/JJ departments/NNS
magnificent/JJ work/NN on/IN the/DT people/NNS
seven/CD on/IN the/DT chapters/NNS
full/JJ range/NN on/IN issues/NNS of/IN
of/IN favor/NN on/IN this/DT task/NN
is/VBZ worthy/JJ on/IN our/PRP$ close/JJ
the/DT findings/NNS on/IN the/DT united/VBN
final/JJ report/NN on/IN the/DT united/VBN
today/NN because/IN on/IN his/PRP$ good/JJ
the/DT fact/NN on/IN the/DT matter/NN
the/DT results/NNS on/IN the/DT congressionally/RB
into/IN any/DT on/IN the/DT commission/NN
quite/RB prescriptive/JJ on/IN its/PRP$ instructions/NNS
of/IN top/NN on/IN the/DT million/CD
wasting/VBG another/DT on/IN taxpayers/NNS money/NN
comprehensive/JJ consideration/NN on/IN major/JJ ocean/NN
and/CC some/DT on/IN them/PRP are/VBP
final/JJ report/NN on/IN the/DT us/PRP
the/DT development/NN on/IN a/DT new/JJ
but/CC instead/RB on/IN debating/VBG these/DT
as/IN highlighted/VBN on/IN the/DT more/JJR
recommendations/NNS contained/VBN on/IN the/DT us/PRP
the/DT house/NN on/IN the/DT legislation/NN
in/IN time/NN on/IN working/VBG with/IN
some/DT number/NN on/IN committees/NNS
the/DT coast/NN on/IN sonoma/NN county/NN
would/MD spend/VB on/IN taxpayer/NN money/NN
the/DT security/NN on/IN american/JJ families/NNS
think/VB all/DT on/IN us/PRP of/IN
both/DT sides/NNS on/IN the/DT aisle/NN
and/CC retirees/NNS on/IN the/DT pensions/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
the/DT aisle/NN on/IN order/NN to/TO
it/PRP will/MD on/IN fact/NN ensure/VB
of/IN behalf/NN on/IN american/JJ workers/NNS
those/DT months/NNS on/IN deliberations/NNS
financial/JJ condition/NN on/IN the/DT federal/JJ
a/DT windfall/NN on/IN cash/NN while/IN
protection/NN act/NN on/IN a/DT negative/JJ
the/DT chairman/NN on/IN the/DT ways/NNS
the/DT benefit/NN on/IN workers/NNS retirees/NNS
the/DT concerns/NNS on/IN all/DT stakeholders/NNS
are/VBP addressed/VBN on/IN a/DT bipartisan/JJ
comprehensive/JJ reforms/NNS on/IN an/DT expeditious/JJ
an/DT interest/NN on/IN this/DT as/RB
some/DT on/IN them/PRP say/VBP
employers/NNS out/RP on/IN the/DT pension/NN
other/JJ side/NN on/IN the/DT aisle/NN
the/DT longevity/NN on/IN their/PRP$ workforce/NN
all/DT on/IN these/DT will/MD
in/IN board/NN on/IN support/NN in/IN
of/IN one/CD on/IN the/DT new/JJ
as/IN chairman/NN on/IN the/DT select/JJ
measures/NNS subcommittee/NN on/IN ways/NNS and/CC
pointed/VBN out/RP on/IN the/DT ways/NNS
contain/VBP many/JJ on/IN the/DT provisions/NNS
the/DT amount/NN on/IN time/NN that/WDT
and/CC one/CD on/IN the/DT leading/JJ
the/DT leaders/NNS on/IN the/DT ways/NNS
the/DT funding/NN on/IN a/DT guaranteed/VBN
revolving/JJ door/NN on/IN bankruptcy/NN which/WDT
extended/JJ period/NN on/IN time/NN ensuring/VBG
a/DT result/NN on/IN taking/VBG in/RP
direct/JJ deposit/NN on/IN tax/NN savings/NNS
standalone/NN none/NN on/IN that/DT would/MD
estimated/VBN that/IN on/IN fact/NN billion/CD
fact/NN billion/CD on/IN defaulted/JJ plans/NNS
as/IN cochairman/NN on/IN the/DT savings/NNS
in/IN behalf/NN on/IN current/JJ and/CC
who/WP live/VBP on/IN my/PRP$ district/NN
and/CC chairman/NN on/IN the/DT education/NN
this/DT floor/NN on/IN this/DT house/NN
majority/NN side/NN on/IN light/NN in/IN
in/IN debate/NN on/IN the/DT house/NN
minority/NN member/NN on/IN the/DT committee/NN
of/IN lieu/NN on/IN the/DT amendments/NNS
now/RB printed/VBN on/IN the/DT bill/NN
substitute/NN printed/VBN on/IN part/NN a/DT
part/NN a/DT on/IN the/DT report/NN
the/DT report/NN on/IN the/DT committee/NN
that/IN millions/NNS on/IN hardworking/VBG americans/NNS
the/DT chairman/NN on/IN the/DT committee/NN
major/JJ piece/NN on/IN legislation/NN since/IN
the/DT balance/NN on/IN my/PRP$ time/NN
pension/NN check/NN on/IN a/DT specified/VBN
the/DT rest/NN on/IN his/PRP$ or/CC
put/VB money/NN on/IN a/DT mutual/JJ
the/DT decision/NN on/IN united/VBN airlines/NNS
the/DT verge/NN on/IN following/VBG on/IN
on/IN following/VBG on/IN the/DT path/NN
the/DT path/NN on/IN united/VBN airlines/NNS
dramatic/JJ increase/NN on/IN hybrid/JJ plans/NNS
substitute/NN first/RB on/IN all/DT to/TO
the/DT failures/NNS on/IN this/DT particular/JJ
the/DT potential/NN on/IN those/DT liabilities/NNS
a/DT member/NN on/IN both/DT the/DT
strong/JJ support/NN on/IN the/DT bill/NN
on/IN the/DT many/JJ
and/CC stability/NN on/IN their/PRP$ plans/NNS
the/DT floor/NN on/IN the/DT house/NN
my/PRP$ side/NN on/IN the/DT aisle/NN
financial/JJ health/NN on/IN companysponsored/JJ plans/NNS
with/IN provisions/NNS on/IN the/DT senate/NN
in/IN industry/NN on/IN your/PRP$ proposals/NNS
up/RP resources/NNS on/IN years/NNS when/WRB
i/FW rise/NN on/IN opposition/NN to/TO
and/CC receipt/NN on/IN fees/NNS from/IN
pension/NN promises/VBZ on/IN their/PRP$ employers/NNS
and/CC compassion/NN on/IN american/JJ values/NNS
vision/NN articulated/VBN on/IN this/DT bill/NN
imagine/VB living/VBG on/IN the/DT united/VBN
who/WP work/VBP on/IN the/DT private/JJ
a/DT crisis/NN on/IN the/DT pension/NN
of/IN millions/NNS on/IN americans/NNS lives/NNS
instead/RB passage/NN on/IN this/DT bill/NN
obligations/NNS coming/VBG on/IN every/DT day/NN
as/IN half/NN on/IN all/DT large/JJ
other/JJ side/NN on/IN the/DT aisle/NN
this/DT side/NN on/IN the/DT aisle/NN
morning/NN put/VBD on/IN a/DT hard/JJ
the/DT members/NNS on/IN this/DT house/NN
a/DT climate/NN on/IN this/DT house/NN
is/VBZ devoid/JJ on/IN bipartisanship/NN and/CC
the/DT house/NN on/IN only/JJ republicans/NNS
financial/JJ condition/NN on/IN their/PRP$ pension/NN
plans/NNS representing/VBG on/IN the/DT liabilities/NNS
company/NN executives/NNS on/IN charge/NN on/IN
on/IN charge/NN on/IN underfunded/VBN pension/NN
the/DT unraveling/NN on/IN pension/NN plans/NNS
by/IN billions/NNS on/IN dollars/NNS
the/DT courtesy/NN on/IN being/VBG allowed/VBN
from/IN conflicts/NNS on/IN interest/NN
the/DT side/NN on/IN workers/NNS consistently/RB
other/JJ side/NN on/IN the/DT aisle/NN
the/DT life/NN on/IN me/PRP i/FW
them/PRP out/RP on/IN a/DT deliberative/JJ
impacts/NNS millions/NNS on/IN americans/NNS and/CC
are/VBP secure/JJ on/IN the/DT knowledge/NN
the/DT floor/NN on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS and/CC
which/WDT millions/NNS on/IN american/JJ workers/NNS
will/MD because/RB on/IN the/DT accounts/NNS
nest/NN eggs/NNS on/IN their/PRP$ workers/NNS
and/CC decades/NNS on/IN manipulating/VBG the/DT
airlines/NNS or/CC on/IN the/DT repair/NN
a/DT lots/NNS on/IN people/NNS who/WP
the/DT repeal/NN on/IN the/DT longstanding/JJ
democratic/JJ members/NNS on/IN the/DT committee/NN
the/DT bankruptcy/NN on/IN that/DT company/NN
their/PRP$ representatives/NNS on/IN congress/NN
the/DT history/NN on/IN this/DT congress/NN
the/DT termination/NN on/IN these/DT plans/NNS
the/DT passage/NN on/IN this/DT legislation/NN
plans/NNS are/VBP on/IN jeopardy/NN
a/DT word/NN on/IN consideration/NN of/IN
of/IN investment/NN on/IN employee/NN benefit/NN
pass/VB percent/NN on/IN those/DT employers/NNS
urge/VB all/DT on/IN my/PRP$ colleagues/NNS
make/VB billion/CD on/IN profit/NN within/IN
within/IN year/NN on/IN being/VBG discharged/VBN
a/DT lot/NN on/IN important/JJ constituencies/NNS
the/DT chairman/NN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT ways/NNS
majority/NN leadership/NN on/IN this/DT body/NN
depriving/VBG us/PRP on/IN our/PRP$ alternative/NN
in/IN top/NN on/IN trillion/CD on/IN
on/IN trillion/CD on/IN debt/NN
the/DT work/NN on/IN chairman/NN thomas/NNS
pension/NN plans/NNS on/IN america/NN s/VBZ
is/VBZ not/RB on/IN the/DT current/JJ
and/CC thousands/NNS on/IN northwest/RB employees/NNS
in/IN percent/NN on/IN making/VBG contributions/NNS
cause/VB many/JJ on/IN them/PRP to/TO
the/DT end/NN on/IN the/DT day/NN
the/DT gulf/NN on/IN tonkin/JJ resolution/NN
the/DT chairman/NN on/IN the/DT ways/NNS
tolerate/VB discrimination/NN on/IN this/DT country/NN
important/JJ piece/NN on/IN legislation/NN for/IN
high/JJ cost/NN on/IN fuel/NN which/WDT
to/TO rely/VB on/IN whole/JJ or/CC
whole/JJ or/CC on/IN part/NN of/IN
to/TO kind/NN on/IN deal/NN with/IN
employs/VBZ thousands/NNS on/IN men/NNS and/CC
and/CC days/NNS on/IN work/NN in/IN
recent/JJ bankruptcies/NNS on/IN the/DT airline/NN
in/IN billions/NNS on/IN dollars/NNS of/IN
from/IN billion/CD on/IN the/DT first/JJ
over/IN time/NN on/IN the/DT principal/JJ
tax/NN policy/NN on/IN this/DT nature/NN
tax/NN cuts/NNS on/IN the/DT future/JJ
on/IN summary/NN mr/NN
the/DT perspective/NN on/IN the/DT pbgc/NN
least/JJS percent/NN on/IN the/DT retirees/NNS
trustee/NN board/NN on/IN single/JJ employer/NN
a/DT voice/NN on/IN how/WRB their/PRP$
as/IN part/NN on/IN their/PRP$ retirement/NN
complete/JJ understanding/NN on/IN the/DT health/NN
the/DT health/NN on/IN their/PRP$ pension/NN
disturbing/JJ trend/NN on/IN companies/NNS dumping/VBG
my/PRP$ block/NN on/IN the/DT glen/NN
park/NN section/NN on/IN gary/JJ indiana/NN
be/VB there/RB on/IN their/PRP$ retirement/NN
on/IN fact/NN they/PRP
for/IN reform/NN on/IN the/DT airline/NN
industry/NN which/WDT on/IN my/PRP$ area/NN
insurgency/NN was/VBD on/IN its/PRP$ final/JJ
for/IN victory/NN on/IN iraq/NN
so/RB proud/JJ on/IN the/DT democratic/JJ
the/DT resolution/NN on/IN the/DT gentleman/NN
and/CC women/NNS on/IN the/DT service/NN
the/DT service/NN on/IN america/NN and/CC
democracy/NN here/RB on/IN the/DT house/NN
for/IN division/NN on/IN the/DT question/NN
various/JJ provisions/NNS on/IN this/DT resolution/NN
achieve/VB success/NN on/IN iraq/NN
the/DT floor/NN on/IN the/DT house/NN
a/DT division/NN on/IN the/DT question/NN
by/IN direction/NN on/IN the/DT committee/NN
we/PRP saw/VBD on/IN voting/VBG stations/NNS
we/PRP know/VBP on/IN the/DT shia/NN
that/WDT exist/VBP on/IN the/DT country/NN
distinguished/JJ chairman/NN on/IN the/DT committee/NN
in/IN behalf/NN on/IN this/DT resolution/NN
in/IN February/NNP on/IN and/CC i/FW
my/PRP$ colleagues/NNS on/IN which/WDT it/PRP
our/PRP$ effort/NN on/IN iraq/NN
united/VBN states/NNS on/IN america/NN the/DT
people/NNS because/IN on/IN what/WP we/PRP
the/DT cause/NN on/IN freedom/NN say/VBP
critical/JJ role/NN on/IN finally/RB bringing/VBG
the/DT people/NNS on/IN iraq/NN are/VBP
a/DT taste/NN on/IN the/DT kind/NN
should/MD be/VB on/IN fact/NN complete/JJ
the/DT request/NN on/IN our/PRP$ men/NNS
achieve/VBP victory/NN on/IN iraq/NN
overwhelming/JJ majority/NN on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS will/MD
and/CC women/NNS on/IN uniform/NN in/IN
and/CC women/NNS on/IN uniform/NN who/WP
the/DT process/NN on/IN democracy/NN of/IN
the/DT process/NN on/IN democracy/NN here/RB
democracy/NN here/RB on/IN the/DT united/VBN
the/DT sense/NN on/IN the/DT house/NN
or/CC prerogatives/NNS on/IN the/DT house/NN
people/NNS on/IN iraq/NN our/PRP$
was/VBD part/NN on/IN the/DT initial/JJ
house/NN floor/NN on/IN the/DT first/JJ
the/DT issue/NN on/IN iraq/NN
united/VBN states/NNS on/IN america/NN to/TO
just/RB yesterday/NN on/IN iraq/NN is/VBZ
the/DT commitment/NN on/IN the/DT house/NN
achieving/VBG victory/NN on/IN iraq/NN amendment/NN
shall/MD be/VB on/IN order/NN without/IN
of/IN iraq/NN on/IN
for/IN division/NN on/IN the/DT question/NN
by/IN participating/VBG on/IN three/CD elections/NNS
the/DT people/NNS on/IN iraq/NN participated/VBD
all/DT segments/NNS on/IN iraqi/JJ society/NN
actively/RB participated/VBD on/IN the/DT approval/NN
